# ID    Phrase  	Tag1    Tag2    Etc
0	It is / it is about	
1	Congratulations	
2	... smells like ...	
3	Except	
4	To / towards	
5	The meat	
6	To drive	
7	The bicycle	
8	The snow	
9	The thunder	
10	The lightning	
11	The storm	
12	The house	
13	The city	
14	The wasp	
15	The mosquito	
16	The fly (insect)	
17	To fly	
18	Broken	
19	The airplane	
20	The windmill	
21	The electricity	
22	The power (human)	
23	Strong	
24	Weak	
25	The language	
26	The Netherlands	
27	Greece	
28	Spain	
29	Portugal	
30	Italy	
31	To sweat	
32	Ill / unwell	
33	The health	
34	Healthy	
35	Dangerous	
36	The risk	
37	Risky	
38	Poisonous / Toxic	
39	Europe	
40	The European Union	
41	The continent	
42	The government	
43	Smart	
44	Stupid	
45	The paprika	
46	Sometimes	
47	Some time	
48	However	
49	Despite	
50	Due to	
51	Often	
52	Initially	
53	Eventually	
54	Finally	
55	Depends / depending	
56	The economy	
57	The urine	
58	To pee	
59	The poo	
60	The car	
61	The train	
62	The bus	
63	To take	
64	To carry	
65	To wear	
66	To bring	
67	To come	
68	To say	
69	To ask	
70	To think	
71	To go	
72	To travel	
73	The holidays	
74	The tourist	
75	The tourism	
76	The key	
77	The water	
78	The sun	
79	The ground	
80	The clouds	
81	The force	
82	Warm	
83	Cold	
84	The country	
85	The man	
86	The woman	
87	The president	
88	The money	
89	The police	
90	The bank	
91	The ATM	
92	The hotel	
93	The camping	
94	The bed	
95	To sleep	
96	The egg	
97	The food	
98	The dish	
99	The meal	
100	The breakfast	
101	The lunch	
102	The dinner	
103	The rice	
104	The pasta	
105	The tomato	
106	The potato	
107	The courgette	
108	The carrot	
109	The job	
110	The banana	
111	The orange (fruit)	
112	The peach	
113	The mango	
114	Yes	
115	No	
116	Never	
117	Always	
118	But	
119	And	
120	More	
121	Less	
122	A little	
123	Much	
124	Some / a few	
125	The market	
126	The price	
127	To buy	
128	To search	
129	Late	
130	The mom	
131	The dad	
132	The brother	
133	The sister	
134	The uncle	
135	The aunt	
136	The grandpa	
137	The grandma	
138	The son	
139	The daughter	
140	The boy	
141	The girl	
142	The baby	
143	The wife	
144	The husband	
145	The boyfriend	
146	The girlfriend	
147	The stepfather	
148	The stepmother	
149	Moist	Adjective
150	Common	Adjective
151	Great	Adjective
152	Dark	Adjective
153	Bright (colored)	Adjective
154	Early	Adjective
155	Dry	Adjective
156	Nearby	Adjective
157	Far	Adjective
158	Hollow	Adjective
159	Heavy	Adjective
160	Bald	Adjective
161	Sticky	Adjective
162	Rude	Adjective
163	Angry	Adjective
164	Whole	Adjective
165	Full	Adjective
166	Empty	Adjective
167	Funny	Adjective
168	Devastating	Adjective
169	Exhausted / sold out	Adjective
170	Damaged	Adjective
171	Light	Adjective
172	Experienced	Adjective
173	Elegant	Adjective
174	Soft	Adjective
175	Physical	Adjective
176	Self-sufficient	Adjective
177	Rocky	Adjective
178	Wide / broad	Adjective
179	Rough	Adjective
180	Advisable / recommended	Adjective
181	Tasty	Adjective
182	Amazing	Adjective
183	Temporary	Adjective
184	Gallant	Adjective
185	Permanent	Adjective
186	Simple, easy	Adjective
187	Enormous	Adjective
188	Ineradicable (i.e. permanent)	Adjective
189	Naughty	Adjective
190	Juicy	Adjective
191	Soaked	Adjective
192	Wet	Adjective
193	Straight	Adjective
194	Sharp	Adjective
195	Expired	Adjective
196	Narrow	Adjective
197	Popular 🇬🇧	Adjective
198	Surrounding	Adjective
199	Red	Adjective	Color
200	Yellow	Adjective	Color
201	Blue	Adjective	Color
202	Brown	Adjective	Color
203	Purple	Adjective	Color
204	Pink	Adjective	Color
205	Black	Adjective	Color
206	White	Adjective	Color
207	Green	Adjective	Color
208	The color orange	Adjective	Color
209	Not anymore	Adjective	Color
210	Greasy	Adjective	Material
211	Deciduous (e.g. loofboom)	Adjective	Nature
212	Barely	Adverb
213	Newly	Adverb
214	Between	Adverb
215	Inside	Adverb
216	On top	Adverb
217	Recently	Adverb
218	Simply	Adverb
219	Entirely	Adverb
220	Unfortunately	Adverb
221	Temporarily	Adverb
222	Behind	Adverb
223	Back / ago	Adverb
224	Behind ...	Adverb
225	Barely, only just	Adverb
226	Approximately	Adverb
227	Leafy / lush	Adverb	Nature
228	Suddenly	Adverb	Time
229	The sweat	Body	Noun
230	The outfit	Clothing	Noun
231	The outfit / the set	Clothing	Noun
232	The (tin) can	Containers	Noun
233	Around ... o clock	Expression
234	Maybe	Expression
235	Although	Expression
236	Any	Expression
237	To be just about to ...	Expression
238	At the beginning	Expression
239	On purpose	Expression
240	From now on	Expression
241	Anyway	Expression
242	Through	Expression
243	Anyway (in any case)	Expression
