# ID	Phrase		Tag1	Tag2	Etc
1	Congratulations
2	... smells like ...
3	Except
4	To / towards
5	The meat	L1
6	To drive	L1
7	The bicycle	L1
8	The snow	L1
9	The thunder	L1
10	The lightning	L1
11	The storm	L1
12	The house	L1
13	The city	L1
14	The wasp	L1
15	The mosquito	L1
16	The fly (insect)	L1
17	To fly	L1
18	Broken	L1
19	The airplane	L1
20	The windmill	L1
21	The electricity	L1
22	The power (human)
23	Strong	L1
24	Weak	L1
25	The language	L1
26	The Netherlands	L1
27	Greece	L1
28	Spain	L1
29	Portugal	L1
30	Italy	L1
31	To sweat	L1
32	Ill / unwell	L1
33	The health	L1
34	Healthy	L1
35	Dangerous	L1
36	The risk
37	Risky
38	Poisonous / Toxic
39	Europe	L1
40	The European Union	L2
41	The continent
42	The government	L2
43	Smart	L1
44	Stupid	L1
45	The paprika	L1
46	Sometimes	L1
47	Some time	L2
48	However	L2
49	Despite	L2
50	Due to	L2
51	Often	L1
52	Initially	L2
53	Eventually	L2
54	Finally	L2
55	Depends / depending	L2
56	The economy	L2
57	The urine	L2
58	To pee	L1
59	The poo	L1
60	The car	L1
61	The train	L1
62	The bus	L1
63	To take	L1
64	To carry	L1
65	To wear	L1
66	To bring	L1
67	To come	L1
68	To say	L1
69	To ask	L1
70	To think	L1
71	To go	L1
72	To travel	L1
73	The holidays	L1
74	The tourist	L1
75	The tourism	L1
76	The key	L1
77	The water	L1
78	The sun	L1
79	The ground	L1
80	The clouds	L1
81	The force	L2
82	Warm	L1
83	Cold	L1
84	The country	L1
85	The man	L1
86	The woman	L1
87	The president	L2
88	The money	L1
89	The police	L1
90	The bank	L1
91	The ATM	L1
92	The hotel	L1
93	The camping	L1
94	The bed	L1
95	To sleep	L1
96	The egg	L1
97	The food	L1
98	The dish	L1
99	The meal	L1
100	The breakfast	L1
101	The lunch	L1
102	The dinner	L1
103	The rice	L1
104	The pasta	L1
105	The tomato	L1
106	The potato	L1
107	The courgette	L1
108	The carrot	L1
109	The job	L1
110	The banana	L1
111	The orange (fruit)	L1
112	The peach	L1
113	The mango	L1
114	Yes	L1
115	No	L1
116	Never	L1
117	Always	L1
118	But	L1
119	And	L1
120	More	L1
121	Less	L1
122	A little	L1
123	Much	L1
124	Some / a few	L1
125	The market	L1
126	The price	L1
127	To buy	L1
128	To search	L1
129	Late	L1
130	The mom	L1	Family
131	The dad	L1	Family
132	The brother	L1	Family
133	The sister	L1	Family
134	The uncle	L1	Family
135	The aunt	L1	Family
136	The grandpa	L1	Family
137	The grandma	L1	Family
138	The son	L1	Family
139	The daughter	L1	Family
140	The boy	L1	Family
141	The girl	L1	Family
142	The baby	L1		Family
143	The wife	L1		Family
144	The husband	L1	Family
145	The boyfriend	L1	Family
146	The girlfriend	L1	Family
147	The stepfather	L1	Family
148	The stepmother	L2	Family
149	Moist	Adjective
150	Common	Adjective	L1
151	Great	Adjective	L1
152	Dark	Adjective	L1
153	Bright (colored)	Adjective
154	Early	Adjective	L1	Time
155	Dry	Adjective	L1
156	Nearby	Adjective	L1
157	Far	Adjective	L1
158	Hollow	Adjective
159	Heavy	Adjective	L1
160	Bald	Adjective
161	Sticky	Adjective
162	Rude	Adjective	L1
163	Angry	Adjective	L1
164	Whole	Adjective	L1
165	Full	Adjective	L1
166	Empty	Adjective	L1
167	Funny	Adjective	L1
168	Devastating	Adjective
169	Exhausted	Adjective
170	Damaged	Adjective	L1
171	Light(weight)	Adjective	L1
172	Experienced	Adjective
173	Elegant	Adjective
174	Soft	Adjective	L1
175	Physical	Adjective	L1
176	Self-sufficient	Adjective	L1
177	Rocky	Adjective	L1
178	Wide / broad	Adjective	L1
179	Rough	Adjective	L1
180	Advisable / recommended	Adjective
181	Tasty	Adjective	L1
182	Amazing	Adjective	L1
183	Temporary	Adjective	Time
184	Gallant	Adjective
185	Permanent	Adjective	L1	Time
186	Simple, easy	Adjective	L1
187	Enormous	Adjective
189	Naughty	Adjective
190	Juicy	Adjective
191	Soaked	Adjective
192	Wet	Adjective	L1
193	Straight	Adjective	L1
194	Sharp	Adjective	L1
195	Expired	Adjective
196	Narrow	Adjective	L1
197	Popular	Adjective
198	Surrounding	Adjective
199	Red	Adjective	Color	L1
200	Yellow	Adjective	Color	L1
201	Blue	Adjective	Color	L1
202	Brown	Adjective	Color	L1
203	Purple	Adjective	Color	L1
204	Pink	Adjective	Color	L1
205	Black	Adjective	Color	L1
206	White	Adjective	Color	L1
207	Green	Adjective	Color	L1
779	The color	Noun	Color	L1
208	The color orange	Adjective	Color	L1
209	Not anymore	Adjective	Color	L1
210	Greasy	Adjective	Material
211	Deciduous (e.g. loofboom)	Adjective	Nature
212	Barely	Adverb
213	Newly	Adverb
214	Between	Adverb	L1
215	Inside	Adverb	L1	Position
780	Outside Adverb	Position	L1
216	On top	Adverb	L1	Position
217	Recently	Adverb
218	Simply	Adverb
219	Entirely	Adverb	L1
220	Unfortunately	Adverb	L1
221	Temporarily	Adverb
222	Behind	Adverb	L1	Position
223	To go back	Position	L1	Verb
224	Behind ...	Adverb	Position	L1
225	Barely, only just	Adverb
226	Approximately	Adverb
227	Leafy / lush	Adverb	Nature
228	Suddenly	Adverb	Time
229	The sweat	Body	Noun
230	The outfit	Clothing	Noun
